# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
sun;600;2023-08-05 22:10:00 UTC;-1;0.11;0.03;0.09;0.04;0.00;0.00;0.04;0.00;0.00;99.69
sun;600;2023-08-05 22:10:00 UTC;0;0.03;0.07;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.82
sun;600;2023-08-05 22:10:00 UTC;1;0.08;0.05;0.10;0.03;0.00;0.00;0.00;0.00;0.00;99.74
sun;600;2023-08-05 22:10:00 UTC;2;0.23;0.00;0.11;0.06;0.00;0.00;0.07;0.00;0.00;99.54
sun;600;2023-08-05 22:10:00 UTC;3;0.11;0.00;0.10;0.06;0.00;0.00;0.07;0.00;0.00;99.65
sun;601;2023-08-05 22:20:01 UTC;-1;0.06;0.00;0.07;0.03;0.00;0.00;0.05;0.00;0.00;99.80
sun;601;2023-08-05 22:20:01 UTC;0;0.03;0.00;0.04;0.03;0.00;0.00;0.00;0.00;0.00;99.90
sun;601;2023-08-05 22:20:01 UTC;1;0.02;0.00;0.05;0.01;0.00;0.00;0.00;0.00;0.00;99.92
sun;601;2023-08-05 22:20:01 UTC;2;0.08;0.00;0.10;0.02;0.00;0.00;0.08;0.00;0.00;99.71
sun;601;2023-08-05 22:20:01 UTC;3;0.11;0.00;0.08;0.03;0.00;0.00;0.10;0.00;0.00;99.68
sun;600;2023-08-05 22:30:01 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.02;0.00;0.00;99.86
sun;600;2023-08-05 22:30:01 UTC;0;0.06;0.00;0.10;0.03;0.00;0.00;0.00;0.00;0.00;99.81
sun;600;2023-08-05 22:30:01 UTC;1;0.06;0.00;0.09;0.05;0.00;0.00;0.00;0.00;0.00;99.81
sun;600;2023-08-05 22:30:01 UTC;2;0.01;0.00;0.04;0.00;0.00;0.00;0.04;0.00;0.00;99.91
sun;600;2023-08-05 22:30:01 UTC;3;0.02;0.00;0.02;0.00;0.00;0.00;0.06;0.00;0.00;99.91
sun;600;2023-08-05 22:40:01 UTC;-1;0.06;0.02;0.09;0.03;0.00;0.00;0.05;0.00;0.00;99.76
sun;600;2023-08-05 22:40:01 UTC;0;0.09;0.03;0.09;0.07;0.00;0.00;0.00;0.00;0.00;99.73
sun;600;2023-08-05 22:40:01 UTC;1;0.12;0.05;0.13;0.05;0.00;0.00;0.00;0.00;0.00;99.66
sun;600;2023-08-05 22:40:01 UTC;2;0.02;0.00;0.08;0.00;0.00;0.00;0.07;0.00;0.00;99.83
sun;600;2023-08-05 22:40:01 UTC;3;0.02;0.00;0.04;0.00;0.00;0.00;0.13;0.00;0.00;99.81
sun;600;2023-08-05 22:50:01 UTC;-1;0.05;0.00;0.07;0.02;0.00;0.00;0.03;0.00;0.00;99.83
sun;600;2023-08-05 22:50:01 UTC;0;0.11;0.00;0.06;0.05;0.00;0.00;0.00;0.00;0.00;99.79
sun;600;2023-08-05 22:50:01 UTC;1;0.10;0.00;0.09;0.04;0.00;0.00;0.00;0.00;0.00;99.77
sun;600;2023-08-05 22:50:01 UTC;2;0.01;0.00;0.07;0.00;0.00;0.00;0.06;0.00;0.00;99.87
sun;600;2023-08-05 22:50:01 UTC;3;0.00;0.00;0.05;0.00;0.00;0.00;0.06;0.00;0.00;99.89
sun;600;2023-08-05 23:00:01 UTC;-1;0.05;0.00;0.07;0.02;0.00;0.00;0.03;0.00;0.00;99.84
sun;600;2023-08-05 23:00:01 UTC;0;0.08;0.00;0.08;0.01;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-05 23:00:01 UTC;1;0.08;0.00;0.08;0.00;0.00;0.00;0.00;0.00;0.00;99.83
